,open,high,low,close,volume,Symbol,MA_10,MA_50,RSI,MACD,Signal_Line
2024-11-06,412.42,420.45,410.52,420.18,26681842,MSFT,420.07700000000006,294.6266,52.52260134149897,39.6336570226627,43.263021989582136
2024-11-07,421.28,426.85,419.88,425.43,19901782,MSFT,420.14700000000005,298.66200000000003,55.02141179720956,38.31493373011972,42.273404337689655
2024-11-08,425.32,426.5,421.78,422.54,16891414,MSFT,419.58599999999996,302.6572,52.51808197160465,36.614567233339585,41.14163691681964
2024-11-11,422.515,424.81,416.0,418.01,24503321,MSFT,418.72799999999995,306.4202,43.25858643201816,34.50374371326018,39.81405827610775
2024-11-12,418.25,424.44,417.2,423.03,19401204,MSFT,417.83599999999996,310.1156,48.91828579302739,32.857215385981306,38.422689698082465
2024-11-13,421.64,429.325,418.21,425.2,21502185,MSFT,417.10299999999995,313.8324,50.31497118348745,31.36586452687692,37.01132466384136
2024-11-14,425.0,428.17,420.0,426.89,30246881,MSFT,419.157,317.6184,49.135565312843035,29.974796309323665,35.604018992937824
2024-11-15,419.82,422.8,413.64,415.0,28247644,MSFT,419.62,321.1984,43.03569282538158,27.59484489888365,34.002184174126995
2024-11-18,414.87,418.4037,412.1,415.76,24742013,MSFT,420.35,324.9534,39.7023279480982,25.476366216642816,32.29702058263016
2024-11-19,413.11,417.94,411.55,417.79,18133529,MSFT,420.983,328.65319999999997,40.79440419685238,23.688197833500965,30.575256032804322
2024-11-20,416.87,417.29,410.58,415.49,19191655,MSFT,420.514,332.3136,58.13456746173013,21.833784452594955,28.82696171676245
2024-11-21,419.5,419.78,410.2887,412.87,20780162,MSFT,419.258,335.9066,52.28185469149324,19.923075570658966,27.04618448754176
2024-11-22,411.365,417.4,411.06,417.0,24814626,MSFT,418.704,339.694,57.49122807017545,18.528496525601895,25.342646895153788
2024-11-25,418.38,421.08,414.85,418.79,27691090,MSFT,418.782,343.5168,56.569277648324096,17.367518680892204,23.74762125230147
2024-11-26,419.585,429.0414,418.85,427.99,23458889,MSFT,419.27799999999996,347.4242,56.939754753865294,16.993903347505523,22.39687767134228
2024-11-27,425.105,427.2299,422.02,422.99,18332444,MSFT,419.05699999999996,351.1466,47.82220635487326,16.108661666390503,21.139234470351926
2024-11-29,420.09,424.88,417.8,423.46,16271921,MSFT,418.71400000000006,354.78520000000003,50.858208955223844,15.269014632281653,19.965190502737872
